Date,USDRUR,IP,CPI,HPI,UR,IRS,GDP,DR
2007-01-01,26.4465,0.097,0.08199999999999999,,0.06649496147828089,,,
2007-02-01,26.5484,0.071,0.076,,0.06742280753974546,,,
2007-03-01,26.1481,0.068,0.07400000000000001,,0.06492572641588283,,,
2007-04-01,25.9947,0.069,0.076,,0.06198952249861971,,,
2007-05-01,25.7564,0.069,0.078,,0.060496819305185516,,,
2007-06-01,25.9043,0.073,0.085,,0.06027514628503541,,,
2007-07-01,25.7288,0.091,0.087,,0.058934790409056186,,,
2007-08-01,25.5448,0.064,0.086,,0.05914149522466204,,,
2007-09-01,25.6262,0.048,0.09300000000000001,,0.058926347361854294,,,
2007-10-01,24.8784,0.057,0.10800000000000001,,0.058038597544259406,,,
2007-11-01,24.6724,0.061,0.115,,0.057520410621930376,,,
2007-12-01,24.4171,0.05,0.11900000000000001,,0.06049634079193296,,,
2008-01-01,24.4387,0.067,0.126,,0.061812217712204784,,,
2008-02-01,24.4262,0.081,0.127,,0.066486379657249,,,
2008-03-01,24.0023,0.035,0.133,,0.06206135613282917,,,
2008-04-01,23.5027,0.057,0.14300000000000002,,0.05811517734245598,,,
2008-05-01,23.6588,0.045,0.151,,0.05536997021152573,,,
2008-06-01,23.7473,0.028,0.151,,0.05819669296486177,,,
2008-07-01,23.4068,0.019,0.147,,0.058934790409056186,,,
2008-08-01,23.4186,0.01,0.15,,0.06125369148268569,,,
2008-09-01,24.667,0.028,0.151,,0.06523988457919583,,,
2008-10-01,25.3718,-0.016,0.142,,0.0672025866301951,,,
2008-11-01,27.0981,-0.125,0.138,,0.07063910076377415,,,
2008-12-01,27.9409,-0.128,0.133,,0.0773559767503405,0.014000000000000012,,
2009-01-01,29.3916,-0.169,0.133,,0.08147974152972448,0.032,,
2009-02-01,36.1767,-0.167,0.139,,0.08802422095466769,0.017000000000000015,,
2009-03-01,36.1644,-0.132,0.14,,0.08784068868031206,-0.0030000000000000027,,
2009-04-01,33.9032,-0.142,0.132,,0.08620417972464303,-0.0040000000000000036,,
2009-05-01,32.974,-0.145,0.12300000000000001,,0.08715643459221643,-0.0030000000000000027,,
2009-06-01,30.7441,-0.12,0.11900000000000001,-0.10661,0.08625581278720584,-0.0040000000000000036,-0.09397149205,0.07014541522242435
2009-07-01,31.0385,-0.098,0.12,-0.133453999,0.08374943900234301,-0.010000000000000009,-0.0905562761327283,0.06343677645830868
2009-08-01,31.1533,-0.107,0.11599999999999999,-0.149757839,0.08237565406292213,-0.010000000000000009,-0.084785577658546,0.06268877366309855
2009-09-01,31.8397,-0.084,0.107,-0.157354,0.07997147141965939,-0.006000000000000005,-0.0764863958,0.062095178341321604
2009-10-01,30.0087,-0.056,0.09699999999999999,-0.157705612,0.07840301773522762,-0.018000000000000016,-0.0658093545540668,0.055346351599266735
2009-11-01,29.1944,0.049,0.091,-0.154348361,0.08274866089470687,-0.004999999999999977,-0.0517965918030594,0.0513086990969343
2009-12-01,29.0687,0.069,0.08800000000000001,-0.142641,0.08132294991702464,-0.0010000000000000286,-0.03511662307,0.0475288688757599
2010-01-01,30.1851,0.085,0.08,-0.116419285,0.0861624852958006,-0.005999999999999978,-0.0149872518078173,0.04450099045587577
2010-02-01,30.3996,0.073,0.07200000000000001,-0.083018213,0.08053279789469597,-0.014999999999999986,0.00546318565705965,0.04255528033641219
2010-03-01,29.93,0.093,0.065,-0.04792,0.08211194811420473,-0.010999999999999996,0.02154681118,0.041348950587475126
2010-04-01,29.4956,0.074,0.06,-0.019651022,0.07942407570135651,-0.013999999999999999,0.0344477371234105,0.040056171936533255
2010-05-01,29.1537,0.081,0.06,0.001930324,0.07485199676743293,-0.010999999999999996,0.0422997589818615,0.03794952003637012
2010-06-01,30.74,0.073,0.057,0.015238,0.07066741288590359,-0.0030000000000000027,0.04651978456,0.03469926866949407
2010-07-01,31.2554,0.046,0.055,0.021259539,0.07237605839708655,-0.010000000000000009,0.0477970120917175,0.03069602223360981
2010-08-01,30.1861,0.069,0.06,0.027974165,0.07181467277280391,-0.01899999999999999,0.0476773389319136,0.02641643561338105
2010-09-01,30.8669,0.062,0.07,0.043802,0.06944890939075685,-0.013000000000000012,0.04769842874,0.02219315659294131
2010-10-01,30.5126,0.072,0.075,0.071530968,0.06923902864929193,-0.02099999999999999,0.0488616531483974,0.018554815098779813
2010-11-01,30.7738,0.074,0.081,0.082762576,0.06761171073104097,-0.016,0.0500549174178744,0.01605638792024485
2010-12-01,31.3335,0.072,0.08800000000000001,0.04912,0.0714055170003143,-0.007000000000000006,0.04951509523,0.015031369403160492
2011-01-01,30.3505,0.062,0.096,-0.054064979,0.07305080275078747,-0.024000000000000007,0.0461180450855502,0.015485079336079335
2011-02-01,29.8018,0.053,0.095,-0.18107527,0.07116851906973133,-0.015,0.0414005058124012,0.016967184714012446
2011-03-01,28.9028,0.037,0.095,-0.285554,0.06779009669893647,-0.019000000000000003,0.03785958864,0.018957141152535013
2011-04-01,28.5162,0.055,0.096,-0.321822538,0.06973821281094718,-0.021000000000000005,0.0363021139397658,0.021167740456976204
2011-05-01,27.3348,0.062,0.096,-0.309783713,0.06562366839884531,-0.026999999999999996,0.0369203829599433,0.023149004043872205
2011-06-01,27.9805,0.065,0.094,-0.280374,0.06339282626529585,-0.019000000000000003,0.03907503093,0.024292479016186464
2011-07-01,27.8726,0.055,0.09,-0.261604151,0.0672063399401518,-0.025999999999999995,0.0419347140077454,0.024356731035367712
2011-08-01,27.5204,0.06,0.08199999999999999,-0.257152308,0.06442198586972116,-0.024000000000000007,0.044791275075396,0.023544911826830398
2011-09-01,28.9278,0.046,0.07200000000000001,-0.266586,0.0631353721734153,-0.02099999999999999,0.04658841213,0.022363923042048043
2011-10-01,32.11,0.033,0.07200000000000001,-0.284867345,0.06516614461109828,-0.010999999999999996,0.0467620914299656,0.021418566490826588
2011-11-01,30.1245,0.039,0.068,-0.286563441,0.06357519068739674,-0.011999999999999997,0.0462846351652853,0.021039249892810395
2011-12-01,31.4001,0.041,0.061,-0.246328,0.06049634079193296,-0.013999999999999985,0.04648319835,0.021339923792509097
2012-01-01,31.8729,0.036,0.042,-0.143449822,0.061812217712204784,-0.017999999999999988,0.0482217482999935,0.022294923327369237
2012-02-01,30.3131,0.068,0.037000000000000005,-0.020090277,0.060867812362270214,-0.025999999999999995,0.0503857743423458,0.023428615678347572
2012-03-01,29.0253,0.032,0.037000000000000005,0.082623,0.06206135613282917,-0.023000000000000007,0.05135156611,0.024133523339372943
2012-04-01,29.3479,0.023,0.036000000000000004,0.123063483,0.056178004764374116,-0.019000000000000003,0.050181312314032,0.024217573429662378
2012-05-01,29.3708,0.033,0.036000000000000004,0.119941009,0.05536997021152573,-0.027999999999999983,0.0475846016003531,0.023715837554227133
2012-06-01,32.9173,0.015,0.043,0.101175,0.056118239644688137,-0.018999999999999975,0.04456041062,0.02279931558184248
2012-07-01,32.5287,0.036,0.055999999999999994,0.091441495,0.055832959334895335,-0.016,0.0421403060648352,0.021853787472258933
2012-08-01,32.2058,0.044,0.06,0.091599514,0.05491710270861475,-0.013999999999999999,0.0398104866982487,0.021144119958932495
2012-09-01,32.5669,0.023,0.066,0.097542,0.05471732255029327,-0.017999999999999988,0.03697601594,0.020765078612556068
2012-10-01,31.2538,0.035,0.066,0.104877969,0.053965713506065764,-0.022000000000000006,0.0333096140572509,0.020763869265875964
2012-11-01,31.3743,0.033,0.065,0.106551127,0.0544930205891972,-0.02800000000000001,0.0289837652647827,0.0209405300387719
2012-12-01,30.811,0.028,0.066,0.097006,0.0525623944585647,-0.017,0.02489110556,0.0210497900766168
2013-01-01,30.4215,-0.004,0.071,0.070588673,0.05619292519291343,-0.034,0.0213306722430757,0.02103449291821036
2013-02-01,30.0161,-0.031,0.073,0.03747122,0.05431281718479496,-0.025999999999999995,0.0187570247819577,0.020762230806308086
2013-03-01,30.5124,-0.001,0.07,0.007146,0.05442303537801942,-0.017999999999999988,0.01748359331,0.02017147896468854
2013-04-01,31.1093,0.011,0.07200000000000001,-0.009921944,0.05424083218629225,-0.017,0.0172374498440224,0.01948357101483956
2013-05-01,31.0433,-0.005,0.07400000000000001,-0.01754093,0.053319230574061814,-0.01899999999999999,0.0173405208708843,0.01885542150858681
2013-06-01,31.7979,0.017,0.069,-0.02071,0.056118239644688137,-0.018000000000000002,0.01672448924,0.01835760465977865
2013-07-01,32.8517,0.008,0.065,-0.02415714,0.054799015643508385,-0.021000000000000005,0.0148177384473126,0.01820070133173499
2013-08-01,33.033,-0.002,0.065,-0.029263012,0.05491710270861475,-0.019000000000000003,0.0126492161701749,0.018538378284039644
2013-09-01,33.2522,0.013,0.061,-0.035912,0.05576957875318352,-0.017,0.01192283192,0.019367972842815055
2013-10-01,32.4839,0.01,0.062,-0.044382554,0.056002155525162585,-0.022000000000000006,0.0135551735330767,0.020559434149088954
2013-11-01,32.0758,0.028,0.065,-0.052771823,0.0544930205891972,-0.019000000000000003,0.0160535006514715,0.02179254724069153
2013-12-01,33.1482,0.004,0.065,-0.058533,0.0555376243335778,-0.011999999999999997,0.01708698099,0.022890753436665173
2014-01-01,32.6587,-0.002,0.06,-0.061566448,0.05244673018005254,-0.01490000000000001,0.015224943069491,0.023968822069063107
2014-02-01,35.18,0.021,0.062,-0.062029396,0.052439961419802034,-0.016799999999999995,0.0119037569428394,0.02500751116139451
2014-03-01,36.1847,0.014,0.069,-0.061409,0.05155866509496577,-0.0031000000000000055,0.00954082889,0.02579398537456349
2014-04-01,35.6053,0.024,0.073,-0.060878661,0.05133507331916945,-0.004400000000000015,0.00910095917274782,0.026213978306312054
2014-05-01,35.7227,0.028,0.076,-0.060467576,0.05024312111786594,-0.006300000000000014,0.0100291093859669,0.02627192701915494
2014-06-01,34.8887,0.004,0.078,-0.059969,0.05092210634425405,-0.009900000000000006,0.01096467738,0.02606599968429295
2014-07-01,33.8434,0.015,0.07400000000000001,-0.059225772,0.050663240877960584,-0.012300000000000005,0.0107595198620682,0.025799893817052236
2014-08-01,35.4438,0.0,0.076,-0.058170313,0.050692710192567464,-0.012700000000000003,0.00943982534940746,0.025756244763710457
2014-09-01,37.2945,0.028,0.08,-0.056894,0.05156055394162251,-0.014300000000000021,0.0073418988699999,0.02651939388718086
2014-10-01,39.3836,0.029,0.083,-0.055729983,0.051929271486968936,-0.014500000000000013,0.00487168762203005,0.028878236976207564
2014-11-01,41.9627,-0.004,0.091,-0.056711179,0.05247476056737508,-0.005900000000000016,0.00204651498861867,0.03321581535016025
2014-12-01,51.8068,0.039,0.114,-0.061428,0.0525623944585647,0.0537,-0.00080877951,0.03926928539438932
2015-01-01,56.2376,0.0,0.15,-0.071994848,0.05151018142683732,0.04769999999999999,-0.00382659010247642,0.04620973571116024
2015-02-01,69.664,-0.018,0.16699999999999998,-0.084647763,0.05431281718479496,0.01780000000000001,-0.00721488372575798,0.052781070020849814
2015-03-01,62.2248,0.012,0.16899999999999998,-0.096155,0.05633261556672186,0.01460000000000003,-0.01092050194,0.05772952073466408
2015-04-01,57.65,-0.018,0.16399999999999998,-0.102932317,0.056178004764374116,0.013700000000000018,-0.015762495169016,0.060207113841473224
2015-05-01,51.1388,-0.024,0.158,-0.107011918,0.05742070984898965,-0.0022999999999999965,-0.0199795771533725,0.05990125896342407
2015-06-01,52.8213,-0.009,0.153,-0.110914,0.056118239644688137,0.003899999999999987,-0.02226838003,0.05724770089986692
2015-07-01,55.8413,-0.015,0.156,-0.116669507,0.054799015643508385,-0.0022000000000000075,-0.0215310649926749,0.05340015543285507
2015-08-01,60.3458,0.002,0.158,-0.124677164,0.05597320083762657,-0.003400000000000014,-0.019159380338477,0.04970463927968451
2015-09-01,66.7152,-0.003,0.157,-0.133894,0.05471732255029327,-0.0021999999999999797,-0.01725140182,0.04726599387384652
2015-10-01,65.7364,-0.016,0.156,-0.143913185,0.056002155525162585,-0.008099999999999996,-0.0172352972212202,0.046547574044606216
2015-11-01,63.7993,0.01,0.15,-0.151527369,0.05852954063284144,-0.0041999999999999815,-0.0179156129944628,0.047121387014002925
2015-12-01,66.737,-0.019,0.129,-0.153467,0.05752111091691987,0.008500000000000008,-0.01746031651,0.04813492663550006
2016-01-01,72.9299,-0.005,0.098,-0.148172043,0.05431982768648299,-0.0030000000000000027,-0.0145266029264115,0.048962299337727284
2016-02-01,76.3264,0.022,0.081,-0.139139795,0.05431281718479496,0.0008999999999999841,-0.00995948072115491,0.049232736315651095
2016-03-01,75.8994,-0.003,0.073,-0.130558,0.05728740566107308,-0.005400000000000016,-0.00546110053,0.04875504500506789
2016-04-01,67.8552,0.002,0.07200000000000001,-0.126435573,0.05714659105341505,-0.008800000000000002,-0.00156175969275472,0.04762882622523378
2016-05-01,66.1718,0.008,0.073,-0.125254712,0.05742070984898965,-0.009100000000000025,0.000893694810260196,0.04606301155954842
2016-06-01,65.9962,0.024,0.075,-0.124673,0.056118239644688137,-0.00959999999999997,0.00179302939,0.04432065546091233
2016-07-01,64.1755,0.029,0.07200000000000001,-0.122669984,0.054799015643508385,-0.005300000000000013,0.00112450790448691,0.04268659035933884
2016-08-01,65.9553,0.016,0.068,-0.118751449,0.05491710270861475,-0.007900000000000004,0.000225246045504746,0.04111930068636296
2016-09-01,65.2535,0.021,0.064,-0.113246,0.05471732255029327,-0.0068999999999999895,0.00086655962,0.03944418244620736
2016-10-01,63.396,0.046,0.061,-0.106097638,0.054983934515614175,0.0016999999999999932,0.00402245866581232,0.03787515034761606
2016-11-01,63.2174,0.056,0.057999999999999996,-0.098701886,0.0544930205891972,-0.000999999999999987,0.00842283082137062,0.036780184365512246
2016-12-01,65.2382,0.041,0.054000000000000006,-0.093034,0.0525623944585647,0.0013000000000000095,0.0117327722099999,0.036317312089796015
2017-01-01,59.8961,0.056,0.05,-0.088821127,0.05244673018005254,-0.008500000000000008,0.0126789666616205,0.03641420162478262
2017-02-01,60.0851,-0.003,0.046,-0.086222334,0.052439961419802034,-0.001899999999999999,0.0121655324396157,0.036673583197582814
2017-03-01,57.9627,0.035,0.042,-0.084078,0.05155866509496577,-0.0003999999999999837,0.01185348372,0.036741224245145955
2017-04-01,55.9606,0.032,0.040999999999999995,-0.081747589,0.05133507331916945,-0.0029000000000000137,0.0128765269738437,0.03655614973823041
2017-05-01,56.9518,0.069,0.040999999999999995,-0.078972045,0.053319230574061814,-0.002699999999999994,0.015118881534662,0.03595049866105519
2017-06-01,56.6876,0.034,0.044000000000000004,-0.075903,0.053000559664427675,0.0031999999999999945,0.01829437562,0.034878354295865735
2017-07-01,59.3862,0.002,0.039,-0.072767889,0.05273112826073448,0.004599999999999993,0.0216306170508708,0.03380705948325826
2017-08-01,60.0633,0.04,0.033,-0.069640581,0.05174880832157929,-0.00010000000000000286,0.02411070656854,0.03326320455523496
2017-09-01,58.5454,0.035,0.03,-0.067034,0.052612810144512766,-0.0016999999999999932,0.02417917096,0.033488671898005945
2017-10-01,57.8134,0.002,0.027000000000000003,-0.064683178,0.051929271486968936,0.0,0.0212800225783875,0.03442994532422423
2017-11-01,58.1179,-0.015,0.025,-0.060936513,0.05146563055646402,-0.0007000000000000062,0.0175036085874981,0.03572761517531065
2017-12-01,58.5814,-0.017,0.025,-0.054553,0.05057890787522264,0.00019999999999999185,0.01600912764,0.037053928450147454
2018-01-01,57.0463,0.027,0.022000000000000002,-0.043167813,0.04870053516719164,0.005300000000000013,0.0187166886364803,0.03812018088143208
2018-02-01,56.184,0.032,0.022000000000000002,-0.030488564,0.046821394124823244,-0.004199999999999995,0.0237278628010107,0.03840105687726971
2018-03-01,56.3742,0.027,0.024,-0.019378,0.0477395047175609,-0.004500000000000004,0.0277160553999999,0.03767237708133017
2018-04-01,57.285,0.032,0.024,-0.013157557,0.04746072816300572,0.0015000000000000013,0.0294127669335718,0.03632336311507297
2018-05-01,63.486,0.035,0.024,-0.01007537,0.04819238148040202,0.0013999999999999985,0.0286675715478882,0.03477615804993442
2018-06-01,62.0188,0.021,0.023,-0.007975,0.04884365302408041,0.003700000000000009,0.02636615857,0.03333243229241258
2018-07-01,63.1394,0.035,0.025,-0.0050712,0.04859535349518668,0.0013999999999999985,0.0236292493721612,0.03234800232846509
2018-08-01,62.3497,0.028,0.031,-0.001443978,0.048580513934543816,-0.0033000000000000113,0.0216203284529915,0.03209345197803602
2018-09-01,68.0447,0.023,0.034,0.001886,0.047351529130061486,-0.0023999999999999994,0.02189829059,0.03272943619897795
2018-10-01,65.5745,0.053,0.035,0.004600951,0.0478563874487753,-0.0032000000000000084,0.0249614984554079,0.03428356407116409
2018-11-01,65.5962,0.044,0.038,0.007148203,0.048438240523730844,-0.005099999999999993,0.0283447039330101,0.036567512577582645
2018-12-01,66.5335,0.064,0.043,0.01001,0.047603678000209544,0.0002999999999999947,0.02846340502,0.03940390512208392
2019-01-01,67.0795,0.02,0.05,0.01414514,0.045890888907545974,-0.0031000000000000055,0.023324793019947,0.042609701418496855
2019-02-01,65.3577,0.036,0.052000000000000005,0.017862621,0.045884966242326776,-0.004500000000000004,0.0168192005663441,0.045660335551849535
2019-03-01,65.8895,0.018,0.053,0.019694,0.04487513443450725,-0.005299999999999985,0.01432853193,0.04794509175451264
2019-04-01,65.4176,0.041,0.052000000000000005,0.018651985,0.04552355558492385,-0.0038000000000000117,0.018517409832244,0.04915943551131676
2019-05-01,64.6314,-0.001,0.051,0.017082529,0.046141641842938105,-0.004400000000000001,0.0259102437834831,0.049143400248535175
2019-06-01,65.3834,0.019,0.047,0.018335,0.04572597304381996,-0.0023999999999999994,0.03152910345,0.047840860374707986
2019-07-01,63.0541,0.028,0.046,0.024187143,0.04652746611241278,-0.006900000000000003,0.0310686428804247,0.04548816989545325
2019-08-01,63.4172,0.028,0.043,0.031834419,0.04541221954750835,-0.003600000000000006,0.0259369768632518,0.04252605909965042
2019-09-01,66.6235,0.038,0.04,0.036447,0.047351529130061486,-0.007200000000000012,0.01898660892,0.03938658611765333
2019-10-01,64.6407,0.03,0.038,0.035384629,0.046838166439226885,-0.011300000000000018,0.0129927279298423,0.036389254809819575
2019-11-01,63.7748,0.007,0.035,0.03167997,0.04641998050190872,-0.011499999999999996,0.00876632059710842,0.033720289436408674
2019-12-01,64.4097,0.017,0.03,0.03011,0.045620191416867475,-0.004299999999999998,0.00741134045,0.031598567908081555
2020-01-01,61.9057,0.011,0.024,0.033619687,0.04401779140111552,-0.009599999999999997,0.0086754401259942,0.0298354937020197
2020-02-01,63.1385,0.033,0.023,0.039943425,0.043075682594837385,-0.005599999999999994,0.00839479,
2020-03-01,66.3274,0.003,0.025,0.04591,0.04487513443450725,-0.003599999999999992,0.002047323,
2020-04-01,76.4074,-0.066,0.031,0.048517081,0.056178004764374116,-0.012999999999999998,-0.013912834,
2020-05-01,72.7263,-0.096,0.03,0.04873367,0.06254755894264943,-0.00979999999999999,-0.032341125,
2020-06-01,69.7114,-0.094,0.032,0.048162,0.06443205292538268,-0.0023999999999999994,-0.045954315,
2020-07-01,70.4413,-0.08,0.034,0.048505197,0.0651384525573779,-0.01150000000000001,-0.047848341,
2020-08-01,73.4261,-0.042,0.036000000000000004,0.051487993,0.06759028025675662,-0.009500000000000001,-0.040968618,
2020-09-01,73.8039,-0.036,0.037000000000000005,0.058547,0.06629214078208608,-0.006599999999999988,-0.030352115,
2020-10-01,78.7847,-0.059,0.04,0.06254,0.06414792360154987,-0.010200000000000008,-0.021514073,
2020-11-01,80.5749,-0.015,0.044000000000000004,0.08235,0.06155693066557461,-0.006399999999999996,-0.019025662,
2020-12-01,76.1999,0.021,0.049,0.091336,0.05851285420859089,-0.005299999999999999,-0.027987051,
2021-01-01,73.8757,-0.019,0.052000000000000005,,0.05431982768648299,-0.008800000000000002,,
2021-02-01,75.5053,-0.032,0.057,,0.053376389302298495,-0.012200000000000003,,
2021-03-01,74.0448,0.01,,,0.05155866509496577,-0.0095,,
2021-04-01,75.6373,,,,,-0.0097,,
